model,target,size,seed,rmse,r2,mae,train_s,infer_s
mlp,TAtracado,500,256,41.33652395617026,-0.05711661391221656,21.31309400856495,0.637,0.00026
mlp,TAtracado,500,512,34.44289339134207,0.26607066556363,18.064035245925187,0.669,0.00026
mlp,TAtracado,500,1024,36.73032449934565,0.1653497613002669,18.67501817703247,0.589,0.00026
mlp,TAtracado,500,2048,40.98704392477675,-0.03931737051307316,21.458885418027638,0.543,0.00026
mlp,TAtracado,500,3141,43.68180228718193,-0.180473083976475,24.470242590904235,0.553,0.00025
mlp,TAtracado,500,4096,538.480027240207,-178.3883315275486,64.3634339119494,0.408,0.00025
mlp,TAtracado,500,5000,37.51149707042226,0.12946991315803846,20.5393543677032,0.604,0.00026
mlp,TAtracado,500,6273,50.62188468902757,-0.5853735635317514,32.66422916948795,0.288,0.00026
mlp,TAtracado,500,7777,49.095939400685204,-0.4912351776670689,29.895707414597272,0.111,0.00026
mlp,TAtracado,500,8192,37.27495109022672,0.14041435131102398,20.081079758405686,0.663,0.00026
mlp,TAtracado,500,9001,36.40913775078943,0.17988306581575408,19.60452058620751,0.512,0.00025
mlp,TAtracado,500,10240,41.05145751390165,-0.04258663614466829,26.31070325642824,0.224,0.00025
mlp,TAtracado,500,11111,38.6805575847413,0.07436356027016167,19.7640018132329,0.515,0.00026
mlp,TAtracado,500,12345,38.416480127463046,0.08695930970536836,22.7269045740366,0.506,0.00026
mlp,TAtracado,500,13579,40.13949981919413,0.0032209435510652806,21.49860219694674,0.489,0.00024
mlp,TAtracado,500,14641,44.46030649306719,-0.22292520478077815,30.24580353990197,0.178,0.00026
mlp,TAtracado,500,15360,50.98806753016408,-0.608392710653118,22.9683270958066,0.508,0.00026
mlp,TAtracado,500,16384,85.22179034673856,-3.4932056760387935,29.84736823797226,0.33,0.00026
mlp,TAtracado,1500,42,36.0157503664176,0.1975094508544729,16.82665512859821,0.737,0.00025
mlp,TAtracado,1500,137,35.212531758417285,0.2329043943093293,18.096539191007615,0.841,0.00025
mlp,TAtracado,1500,256,30.275745729765248,0.43291953101594804,15.705143567323685,0.811,0.00026
mlp,TAtracado,1500,512,34.69156447727152,0.2554347509035273,19.870466452687978,0.467,0.00026
mlp,TAtracado,1500,1024,29.995651585487344,0.44336361321207607,15.790347800850869,1.23,0.00025
mlp,TAtracado,1500,2048,34.43450937389273,0.2664279251798721,16.811783100366593,0.77,0.00026
mlp,TAtracado,1500,3141,36.0171627469947,0.19744650926490037,17.689051231443884,0.791,0.00025
mlp,TAtracado,1500,4096,33.03882246712738,0.32468855189005574,22.171421191692353,0.319,0.00025
mlp,TAtracado,1500,5000,36.39334184716616,0.18059451787068803,19.124745913743972,0.904,0.00026
mlp,TAtracado,1500,6273,34.34606139434502,0.27019157044883435,16.203453564047813,1.081,0.00026
mlp,TAtracado,1500,7777,40.554240101334514,-0.017483857153145488,19.93160773664713,1.019,0.00026
mlp,TAtracado,1500,8192,40.56025149460248,-0.017785524693744614,23.159035754948853,0.364,0.00027
mlp,TAtracado,1500,9001,38.13992064390616,0.10005791496330074,20.01882507503033,0.565,0.00025
mlp,TAtracado,1500,10240,36.29639296436827,0.18495436121578213,18.34541055440903,0.715,0.00026
mlp,TAtracado,1500,11111,33.52422647402503,0.3046995294624453,17.52095983341336,0.845,0.00025
mlp,TAtracado,1500,12345,38.7034452894506,0.07326781797863036,25.234011990502477,0.393,0.00026
mlp,TAtracado,1500,13579,36.85401501763695,0.15971887449675826,18.42901210770011,0.887,0.00024
mlp,TAtracado,1500,14641,33.21897771846992,0.31730374862026534,17.35188829779625,0.615,0.00025
mlp,TAtracado,1500,15360,35.49845732196189,0.2203961922201787,19.17150451272726,0.88,0.00026
mlp,TAtracado,1500,16384,32.77968239216055,0.33524061996135834,18.21091892078519,0.977,0.00026
