model,target,size,seed,rmse,r2,mae,train_s,infer_s,best_iter
xgboost,TOperacao,1500,10240,28.377267396769092,0.39241204184016565,13.534474154561758,5.151,0.00088,465
xgboost,TOperacao,1500,11111,29.295133516535927,0.3524713683355266,11.7945691716671,1.665,0.00064,109
xgboost,TOperacao,1500,12345,28.113154017811347,0.40366931563331443,12.349109324216842,2.56,0.00067,175
xgboost,TOperacao,1500,13579,31.93829307996757,0.2303532911302575,13.912048882246017,1.745,0.00061,85
xgboost,TOperacao,1500,14641,22.56221110416272,0.6159114773998358,10.530573897361755,1.986,0.00064,120
xgboost,TOperacao,1500,15360,28.381642937835924,0.39222465727019373,12.14824891090393,1.487,0.00063,72
xgboost,TOperacao,1500,16384,24.55648793847438,0.545011393622197,11.904105753898621,1.302,0.00057,43
xgboost,TOperacao,3000,42,25.46927354956108,0.5105581189563899,11.322024110555649,1.979,0.00061,90
xgboost,TOperacao,3000,137,23.85012882745382,0.5708101216520172,10.806430168151856,1.836,0.00064,83
xgboost,TOperacao,3000,256,25.301927106853082,0.5169687669672549,11.30021633386612,3.152,0.00071,202
xgboost,TOperacao,3000,512,24.727048593129975,0.5386690651302704,11.00605147331953,5.314,0.00086,479
xgboost,TOperacao,3000,1024,24.989432123701164,0.5288265755644641,11.364280830323697,3.932,0.00077,325
xgboost,TOperacao,3000,2048,25.109550632239465,0.5242860424042223,10.648162577152252,2.255,0.00065,107
xgboost,TOperacao,3000,3141,23.75588425633811,0.5741953359532497,10.852680696249008,2.698,0.00065,158
xgboost,TOperacao,3000,4096,24.621837413184974,0.5425865493665327,11.089293385744094,1.886,0.00059,86
xgboost,TOperacao,3000,5000,28.902915086792706,0.3696941950664647,12.34096351981163,2.456,0.00064,174
xgboost,TOperacao,3000,6273,26.208420621535435,0.4817375864273641,11.729021232128144,1.997,0.00061,112
xgboost,TOperacao,3000,7777,25.01441120074503,0.5278841484207153,11.089773055315018,1.88,0.00087,79
xgboost,TOperacao,3000,8192,26.07035277350572,0.4871836907728966,10.506988680362701,1.818,0.00062,66
xgboost,TOperacao,3000,9001,21.845462968621234,0.6399270315156546,10.071146894693374,1.796,0.00062,72
xgboost,TOperacao,3000,10240,24.34610575894135,0.5527740230941456,11.515330827236175,2.876,0.00066,192
xgboost,TOperacao,3000,11111,24.539669104115372,0.5456344271319807,10.701703298389912,6.685,0.001,588
xgboost,TOperacao,3000,12345,25.819556484551015,0.4970027986193768,11.329412662684918,15.252,0.00159,1661
xgboost,TOperacao,3000,13579,24.66315327169661,0.5410501664368632,11.068240113258362,1.816,0.00061,78
xgboost,TOperacao,3000,14641,25.427792255711974,0.5121511089696096,10.721007879972458,2.105,0.00064,103
xgboost,TOperacao,3000,15360,29.07040756635956,0.3623677800413,12.713718500137329,1.505,0.00055,61
xgboost,TOperacao,3000,16384,27.0178637391366,0.44923031649745626,11.323007808923721,2.921,0.00067,191
xgboost,TOperacao,6000,42,24.91467018628136,0.5316416171056347,11.447974547147751,3.721,0.0007,178
xgboost,TOperacao,6000,137,26.261845912919075,0.47962249968666004,12.075976796150208,2.613,0.00059,91
xgboost,TOperacao,6000,256,25.776007979750467,0.4986981262078348,12.334124330878257,3.624,0.00065,185
xgboost,TOperacao,6000,512,24.198786805828508,0.5581700012286457,11.130956829786301,3.343,0.00069,122
xgboost,TOperacao,6000,1024,26.504589003292956,0.4699581498536396,10.823507615327834,2.98,0.00068,113
xgboost,TOperacao,6000,2048,22.321621259641777,0.6240591812689806,10.483924065828324,3.492,0.00071,145
xgboost,TOperacao,6000,3141,22.4339491187794,0.6202660087901519,10.331885332465172,3.833,0.00069,170
xgboost,TOperacao,6000,4096,24.5830469557781,0.544026677482046,10.823837651014328,3.428,0.00067,143
xgboost,TOperacao,6000,5000,24.50234147011239,0.5470156594860957,11.211672780513764,3.494,0.00067,153
xgboost,TOperacao,6000,6273,26.218155959942894,0.4813524890464759,11.96711721777916,3.076,0.00064,109
xgboost,TOperacao,6000,7777,20.62782194720248,0.6789484573683825,10.1223535490036,3.437,0.00067,169
xgboost,TOperacao,6000,8192,25.60361707103093,0.5053811545429081,11.767008184194564,4.045,0.00076,206
xgboost,TOperacao,6000,9001,23.461846802977878,0.5846708605229627,10.262576197385789,2.652,0.00065,94
xgboost,TOperacao,6000,10240,23.347630401540687,0.588704808345835,10.6150264108181,3.333,0.00067,123
xgboost,TOperacao,6000,11111,25.792853502344602,0.4980426754880133,10.98231182038784,6.733,0.00085,426
xgboost,TOperacao,6000,12345,24.376204654384452,0.5516675357634979,11.560865850448609,2.345,0.00061,63
xgboost,TOperacao,6000,13579,25.806348675368397,0.49751727622816677,11.37089679479599,4.874,0.00073,266
xgboost,TOperacao,6000,14641,24.1701526837188,0.5592150064272832,11.112717413902283,3.122,0.00067,116
xgboost,TOperacao,6000,15360,23.322483772628562,0.5895903044386022,10.524688994288445,2.673,0.00063,91
xgboost,TOperacao,6000,16384,21.227573013267147,0.6600079989569276,10.143672862052917,3.055,0.00065,133
